goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Competitive Programming,44,18,78,32,16,44,1124,84.77589805022248,1174
TCS,16,1,54,19,32,4,1009,83.97023726316878,999
TCS,94,24,10,1,42,16,1426,58.83935705938467,224
Campus Placement,16,86,15,83,83,20,1677,41.45918934373164,444
Infosys,30,21,46,86,4,98,1741,40.06181490854016,961
Interview Preparation,86,52,38,89,45,34,1196,33.13766927060605,732
Competitive Programming,9,4,51,53,0,60,1433,63.65224252580817,1351
Competitive Programming,69,82,0,25,99,98,1176,56.30301026336764,41
Microsoft,26,61,31,1,35,51,1406,52.89714809950026,679
Microsoft,74,13,71,65,61,19,1209,58.88673376257591,294
TCS,19,91,18,96,20,98,1232,78.00691097175095,1338
Competitive Programming,45,7,58,73,20,95,1003,33.88952582219055,438
Microsoft,68,81,89,27,14,7,498,59.92490971343081,295
Microsoft,31,34,40,14,49,25,1285,68.55592922407484,1177
Competitive Programming,68,66,84,81,52,0,1501,83.38788489193772,1457
Zoho,61,15,85,90,69,58,1461,70.68306844067162,1052
Amazon SDE,85,60,10,51,27,24,0,60.14629987670948,27
TCS,64,69,70,38,16,4,723,72.17227970285377,778
TCS,19,36,69,75,67,25,1376,84.83820250099626,599
Zoho,50,88,24,13,41,35,1052,78.880389586315,1404
Infosys,78,60,95,30,57,6,1264,34.90029550862938,1208
Zoho,74,64,32,72,37,90,1049,61.615537270684776,1019
Campus Placement,31,54,94,45,63,7,933,73.25607856410434,203
Competitive Programming,58,30,15,39,79,21,1751,66.95315154067958,511
Amazon SDE,54,96,35,58,45,7,1537,52.93323245409633,997
Competitive Programming,91,11,16,25,62,25,1392,47.73444058765959,1146
Zoho,27,62,44,90,43,32,1666,64.48527140273421,123
Interview Preparation,16,21,25,15,39,42,1405,52.6802799198765,1255
Google SDE,33,3,22,1,10,19,1286,51.55986426387159,956
Google SDE,59,92,99,80,23,71,1897,76.02080046522998,840
Microsoft,58,95,44,92,92,1,1916,47.3610482751908,1297
Infosys,59,21,46,95,93,43,1097,65.4708165373714,934
Zoho,87,58,55,62,13,24,1481,78.03883909071166,64
TCS,65,71,10,24,85,67,1443,64.19745526782609,809
Competitive Programming,59,79,29,66,87,66,1658,57.10330547735974,787
Campus Placement,90,98,24,40,64,40,1082,31.941648728853146,1491
Competitive Programming,8,44,97,54,82,50,1782,67.48649049060688,171
Microsoft,51,58,20,98,95,19,1122,84.86393150056492,1413
Google SDE,82,9,1,2,13,81,1359,74.463680431845,96
Infosys,35,19,66,26,4,24,1059,64.89564024949155,64
Microsoft,56,34,4,13,70,49,1239,55.80294761277577,1211
Amazon SDE,92,50,44,32,83,7,1089,42.337830841358624,1424
Competitive Programming,10,10,65,84,55,38,1113,68.06600593521156,1382
Microsoft,31,85,94,9,80,62,1631,39.75160546316322,1041
Infosys,90,74,63,52,67,77,1386,78.78766478473935,842
Interview Preparation,51,73,22,80,68,6,1998,49.46937229873322,322
Campus Placement,38,55,77,70,66,7,1334,51.988802519896865,768
Zoho,87,77,17,90,48,36,1164,41.88228854337604,452
Infosys,90,16,74,94,92,53,1242,56.49142932727205,337
Interview Preparation,63,60,57,39,57,63,1353,67.42499695837503,1087
Amazon SDE,26,51,59,97,37,71,1493,46.65285436311429,770
Google SDE,39,80,14,23,47,40,1279,68.60106770164731,1272
Amazon SDE,95,55,84,9,29,83,1013,64.1320217710294,1262
TCS,85,61,68,48,21,45,1680,50.48135506053954,588
TCS,48,50,66,27,41,95,1765,47.20423161746297,1084
Amazon SDE,95,39,81,32,61,25,1272,77.37311440890363,1016
Amazon SDE,47,72,7,46,73,78,1845,30.656425497366175,1297
Competitive Programming,98,28,37,12,23,31,1248,69.37481415742396,1451
Competitive Programming,64,48,25,43,10,46,1712,52.948962609973336,105
Amazon SDE,33,26,95,92,84,47,1115,69.47304747440036,1121
Campus Placement,0,47,63,26,6,9,2112,57.913216284093,1111
Zoho,41,53,76,74,96,75,872,34.61233505529499,1321
Amazon SDE,59,43,63,73,21,26,1069,84.01287921769955,1153
Zoho,98,52,73,28,85,12,2059,34.73250477811324,823
Competitive Programming,92,91,0,77,30,9,886,38.713916643615136,500
Google SDE,17,58,41,84,58,56,1325,53.11844042816415,461
Interview Preparation,69,85,10,39,39,13,1241,81.95428616507522,174
Campus Placement,5,12,68,88,2,76,1409,46.11897301161339,191
TCS,90,15,0,6,88,19,1476,61.2764177325095,478
Competitive Programming,38,43,64,78,41,23,1328,58.67900489898096,919
Campus Placement,54,59,82,71,91,15,1622,48.1581136701086,744
Interview Preparation,18,67,49,85,16,89,1823,68.29828386441343,832
Infosys,37,6,68,76,71,68,1225,57.5804281888266,953
Interview Preparation,2,77,75,38,3,58,863,61.80576452821306,16
Amazon SDE,19,4,91,24,83,93,1197,41.55854817061227,339
Microsoft,65,6,59,27,7,45,1489,80.96019833225392,784
Amazon SDE,70,73,36,50,23,21,1448,36.081407796160505,160
Zoho,4,17,22,79,40,38,1664,67.96480764590515,1118
Campus Placement,24,66,4,70,55,44,1958,78.72428608214848,156
Amazon SDE,52,12,86,48,89,93,1463,34.62113582840466,1414
Microsoft,76,76,87,56,27,88,1278,31.581361302961167,924
Zoho,11,48,80,69,33,17,1181,48.32345598365997,1318
Microsoft,68,27,3,14,71,99,1344,73.44713632970426,709
Interview Preparation,11,15,16,98,3,8,1655,69.45515846271117,91
Infosys,81,82,29,1,17,17,1218,75.21863969968071,523
Infosys,66,23,53,11,33,63,1578,51.86241997710833,824
Interview Preparation,53,52,88,77,27,22,1074,84.65674600828586,718
Competitive Programming,3,40,80,52,37,11,1394,50.13583577611686,755
Infosys,18,16,77,59,68,74,935,74.2960760749091,1032
Competitive Programming,84,58,22,65,28,0,1229,49.294353212482925,1419
Interview Preparation,88,90,23,42,35,64,1843,42.01440742660752,716
Zoho,66,17,16,33,42,4,1478,48.51679901839731,480
TCS,6,7,58,27,5,26,1360,40.59727704655697,1152
Infosys,8,33,51,4,93,70,1481,37.10108336174538,405
Campus Placement,3,63,45,34,51,55,1554,50.01801490609966,270
TCS,54,88,80,15,94,81,1497,38.07368020159403,814
TCS,22,47,77,37,38,60,1468,57.62808298444794,943
TCS,74,69,58,98,13,18,1100,31.947672440500178,1289
Campus Placement,82,89,78,45,44,37,956,53.72302669764558,914
Microsoft,64,40,18,43,89,3,1618,82.6903036772012,1259
Competitive Programming,3,17,68,43,89,93,1007,49.73647016332505,1086
Zoho,8,72,16,4,44,40,1509,37.57027329568912,949
Zoho,41,28,96,45,9,4,1702,46.785820170020614,863
Infosys,70,98,5,45,6,38,1090,73.52028523332766,1397
Competitive Programming,25,35,24,76,15,40,1203,47.25125027387112,1313
Interview Preparation,20,26,46,64,13,18,1353,51.09227653217113,602
Amazon SDE,9,63,16,28,25,67,1133,73.38325840888407,723
Google SDE,9,6,32,1,41,68,1129,44.330827178683904,1191
Infosys,61,49,10,62,64,17,1240,56.30598742187534,641
Campus Placement,64,25,32,80,50,40,1168,33.47426124817537,68
TCS,99,7,27,35,93,52,1545,39.573882027011045,137
TCS,66,36,40,37,62,27,1423,41.51960198750078,745
Infosys,98,17,58,87,86,16,966,55.49698779953752,730
Infosys,11,43,4,17,1,15,1918,75.153920895418,1148
Zoho,90,28,84,7,3,80,1310,49.4980588490121,1242
Campus Placement,80,52,29,27,89,57,1379,50.92682668378757,535
Interview Preparation,18,89,45,3,61,26,1242,46.55528958618416,530
Google SDE,73,28,89,37,42,26,1396,47.6270080102542,561
Competitive Programming,42,36,55,81,45,0,1128,52.192742020679994,246
Infosys,89,85,2,63,13,44,993,79.46718061064438,1314
Microsoft,7,15,84,71,77,26,1300,31.340687184842796,1392
Google SDE,51,2,11,57,42,34,1830,64.35219313408271,1234
Infosys,1,22,6,62,0,36,1568,78.82255977628057,1311
Infosys,75,55,25,19,27,47,1765,52.93280492879552,1268
TCS,38,11,43,59,83,49,1227,65.8002485043606,503
Zoho,53,32,55,34,18,33,1155,62.21430188379949,13
Interview Preparation,39,34,54,80,66,64,1245,48.62473225287468,675
Google SDE,94,40,12,36,96,26,1554,37.55798157644174,451
Zoho,28,13,77,74,61,87,1706,42.07894718054365,38
Amazon SDE,71,48,24,62,99,20,1317,33.159482375464464,1142
Zoho,14,87,80,34,77,39,978,72.0600099425615,619
Competitive Programming,25,49,15,51,7,81,1692,59.30439310594643,814
Microsoft,47,25,91,17,83,68,1732,73.20984654875633,84
Microsoft,99,73,40,56,59,56,1553,45.960816365273715,847
Infosys,40,43,81,19,55,40,1828,74.25696766759356,1179
Google SDE,67,68,3,58,57,81,825,47.006241113999295,137
Zoho,32,22,39,67,43,62,1122,36.673367273297224,51
TCS,11,17,50,25,48,44,1406,59.35959007331802,1389
Competitive Programming,49,10,80,12,85,6,1082,81.99125570146265,50
Zoho,74,71,54,20,89,17,1675,52.79167269676123,943
TCS,93,96,32,87,98,88,1047,58.346375963703466,43
Zoho,52,62,38,94,47,31,1803,54.820917653447154,1050
Microsoft,89,5,23,99,77,64,1145,55.158914083040756,1186
Infosys,49,44,82,54,22,62,1819,41.78954140360478,1007
Interview Preparation,29,14,62,41,49,9,1152,53.23653039467328,1411
Infosys,99,66,59,82,50,95,691,57.32955337034004,597
Campus Placement,96,12,97,96,68,8,1442,70.96721595955495,351
Competitive Programming,30,16,93,98,0,83,1604,37.69075076018133,36
Amazon SDE,1,89,51,22,89,24,1088,61.43876548229839,1320
Campus Placement,78,74,48,69,14,91,1875,66.42062179954294,655
Competitive Programming,65,98,94,43,50,54,1810,51.05359609943666,740
Campus Placement,52,69,65,25,75,15,1346,60.2040405039147,177
Amazon SDE,75,51,40,64,84,91,1495,69.09081283720968,619
Google SDE,81,91,14,75,16,19,1404,55.580566613877124,277
Zoho,71,30,56,50,72,54,1596,48.334300638036,830
TCS,66,34,48,73,0,90,1655,75.35867723615016,464
Interview Preparation,98,19,58,89,94,25,903,84.38492846641611,915
Interview Preparation,55,18,73,26,80,89,1903,41.914955403704425,1434
Google SDE,32,12,5,36,83,89,1756,78.9167111055536,931
Campus Placement,30,3,96,39,52,21,1086,59.99858752642408,990
Microsoft,67,5,63,26,3,6,1835,54.63577943515688,711
Competitive Programming,22,43,22,64,24,67,1973,79.12397276120967,643
Interview Preparation,44,73,41,59,97,99,885,80.06863762613929,139
Zoho,34,54,68,55,6,51,1606,44.996121659700236,1029
Google SDE,64,68,39,77,62,23,1675,49.71047493534286,1396
Interview Preparation,2,54,30,51,90,38,1509,76.8558332911438,828
Google SDE,9,43,13,52,1,29,1751,56.99534916301742,702
Google SDE,93,55,69,13,44,36,1459,45.84157818711749,1325
Interview Preparation,27,94,96,31,4,36,1548,82.9196758250382,1404
Infosys,79,60,44,95,67,8,829,41.93709456937844,803
TCS,3,98,95,82,66,86,1202,63.56854660429538,38
Infosys,56,94,11,71,24,92,1779,53.53540311122646,158
Interview Preparation,67,41,38,34,48,52,1191,54.821585241835066,1329
Amazon SDE,22,29,21,48,25,42,1383,35.82934944565038,20
Campus Placement,22,55,77,13,90,68,1061,44.142606795937574,685
Competitive Programming,49,78,34,58,43,96,1200,39.184840109062854,1146
Zoho,78,11,87,4,32,98,1501,71.2293678489676,196
Competitive Programming,76,37,98,94,60,76,1358,68.37594194547717,816
Amazon SDE,0,19,78,31,8,86,854,73.675717031936,753
Competitive Programming,23,16,12,87,34,48,1173,68.45945838882051,1260
Microsoft,43,6,39,21,7,25,1818,37.07907242672776,1343
Zoho,64,7,20,60,12,33,1720,83.82255891334057,107
Competitive Programming,44,28,57,20,67,45,1409,40.368424246786695,64
Competitive Programming,76,19,66,32,40,90,1500,49.27473176724149,632
Google SDE,37,31,71,78,4,53,1206,68.878249427263,673
Interview Preparation,80,43,13,50,13,37,1815,37.7246910521574,767
Zoho,55,73,62,47,75,8,1321,39.377841274876445,415
Infosys,50,76,9,14,19,61,1030,78.21163292557233,78
Competitive Programming,29,17,96,2,4,57,889,48.26082225211469,1345
Zoho,83,25,71,93,88,60,877,66.60713350166051,1322
Competitive Programming,4,55,55,56,12,80,1162,77.23116705056479,760
Campus Placement,68,60,3,55,22,21,1894,83.5260400945503,1181
Competitive Programming,36,35,54,61,41,13,2202,41.56571299679482,1277
Zoho,79,11,8,17,44,75,1720,36.7610461911297,967
Google SDE,20,57,60,71,36,80,877,70.74053202025684,374
Zoho,97,72,64,82,62,12,1065,40.35110039974484,491
TCS,69,66,60,55,55,41,1067,61.91046114797816,210
Zoho,69,18,55,47,30,25,1314,59.295484201207145,163
Competitive Programming,73,38,86,90,37,89,1147,60.79578151313182,1483
TCS,94,57,76,4,90,48,1586,65.73860621862701,82
Interview Preparation,5,87,92,89,73,32,1314,76.79906418114135,722
Campus Placement,66,90,52,13,45,22,1662,44.949994532879586,305
Campus Placement,43,9,43,40,59,47,1578,60.53838359350346,1050
TCS,54,75,55,59,65,22,1793,48.51767642643378,1250
Microsoft,51,17,93,49,83,26,1181,47.53037239234682,70
Competitive Programming,88,46,38,62,27,78,1686,31.12307525166647,948
Zoho,83,50,22,64,78,13,1173,62.96713436462277,51
Microsoft,98,38,20,31,34,2,1383,83.4878057885198,34
Zoho,64,64,76,90,55,27,1149,71.86909809120017,1072
Amazon SDE,51,35,94,17,0,90,1506,43.353649630330125,140
Competitive Programming,30,86,12,17,87,40,1797,69.3868651444242,1262
Interview Preparation,77,68,58,40,28,53,1751,46.3518003931794,117
Microsoft,66,75,25,74,42,59,1507,71.45071433218676,181
Infosys,79,79,87,69,54,4,1357,77.02128004256319,1468
Zoho,77,4,88,50,89,1,1394,48.388119958111766,111
Interview Preparation,66,79,46,92,82,38,1858,30.120273787310335,875
Google SDE,5,2,3,35,33,10,1147,46.775960918161786,533
Microsoft,8,39,84,4,19,42,1539,41.32210080773125,284
Amazon SDE,96,50,70,33,64,23,1737,64.02380196122424,1077
Campus Placement,11,16,69,14,79,94,1397,45.95400859184757,826
Interview Preparation,65,10,69,8,40,16,1678,31.982546397194877,966
Amazon SDE,63,45,42,96,76,84,2065,59.22340184350932,1050
Microsoft,42,98,38,80,87,36,1372,78.10771212550682,339
Campus Placement,59,62,30,10,87,5,1323,54.82364578961175,21
Microsoft,66,35,72,41,24,15,1466,50.696360894049825,1351
Microsoft,76,18,1,62,98,31,1547,39.81839630038678,225
Microsoft,30,75,84,40,30,69,1799,51.30602426891039,348
Zoho,72,40,6,60,38,85,1777,48.20054310323468,670
Zoho,39,1,0,29,80,74,1498,84.72076344022923,1114
Competitive Programming,71,26,6,12,44,71,809,31.675822779208865,383
TCS,21,27,8,74,48,71,965,43.13666075489478,985
Microsoft,89,93,88,6,62,81,1690,33.77459459644748,719
TCS,79,60,47,57,56,58,1211,77.15800713460841,1233
Interview Preparation,95,36,54,41,77,86,1712,52.95201707838538,475
Infosys,34,73,76,63,91,63,1647,73.79483650095946,1122
Zoho,99,34,94,44,21,70,1344,68.06847520293681,1301
Amazon SDE,64,18,59,84,7,36,1152,81.04173695509827,498
Competitive Programming,70,58,69,70,0,88,0,31.307033296008413,56
TCS,49,52,77,21,55,28,1460,41.403965867579444,1321
Interview Preparation,39,81,57,95,10,50,985,68.61180358300108,787
Campus Placement,74,66,48,3,58,59,1678,62.18730823157937,1049
Google SDE,10,17,29,78,28,78,1610,68.20631374567378,720
Google SDE,76,84,21,38,78,38,1456,61.651384850201964,410
Competitive Programming,40,77,3,84,72,39,1457,61.95616674159135,990
TCS,3,34,92,40,16,63,1826,81.29157148452245,1119
TCS,88,49,65,40,26,66,1180,80.67107278671372,259
Infosys,2,39,29,40,82,62,1293,32.08981709003421,400
Campus Placement,73,56,23,27,98,52,1418,52.75176918788991,344
Zoho,68,41,79,42,66,42,1226,58.08138419679977,638
Interview Preparation,75,85,24,63,41,50,1361,49.68474624381461,146
Competitive Programming,33,34,64,5,53,58,927,32.725713083789344,892
Infosys,75,72,75,65,39,18,1285,55.97640841781461,697
Amazon SDE,52,79,15,30,82,14,1363,83.66330091502765,836
Infosys,37,82,54,90,86,34,1175,33.97162043114053,736
Amazon SDE,78,66,26,8,62,73,1788,74.91731346089381,603
TCS,84,93,92,0,70,77,1531,40.76089129620933,1256
Infosys,3,59,92,14,7,92,1367,61.723721893909115,999
Google SDE,74,23,67,22,68,68,1220,51.286688713326186,381
Microsoft,73,0,59,16,92,18,938,49.19545405576065,944
Campus Placement,70,49,57,57,56,63,1195,77.87274820527227,1004
TCS,72,73,95,70,92,94,1419,83.54111136239736,411
Interview Preparation,17,94,56,66,62,91,1378,51.26669156863397,1476
Competitive Programming,46,54,47,97,28,75,1175,65.22438550081878,624
Interview Preparation,26,55,40,52,34,62,1901,60.60275622109803,1306
Infosys,27,21,67,82,52,37,1728,34.230688102279245,1192
Google SDE,56,86,33,29,22,52,1268,32.2638490411367,1185
Infosys,95,21,33,9,11,54,1575,72.5372710752958,1004
TCS,73,64,1,54,16,99,1788,51.69938400340422,629
Zoho,97,68,91,41,58,61,1504,46.916577920942856,197
Interview Preparation,4,25,0,47,78,18,1350,84.20705214534996,1131
Google SDE,19,60,86,81,82,93,856,34.68764990309674,140
Microsoft,54,80,36,22,86,7,1379,44.79844034956866,814
Zoho,93,97,82,86,18,30,1172,77.12409199156622,1204
Campus Placement,32,52,58,3,53,96,1221,52.824931687866126,945
Amazon SDE,63,94,90,98,28,1,1303,62.13359042784082,995
Interview Preparation,18,33,42,72,80,8,1333,32.66101958667079,192
TCS,1,77,58,74,42,1,1286,80.61605471722794,992
Amazon SDE,81,11,75,64,4,25,999,37.53052983467045,373
Competitive Programming,77,99,64,9,98,97,875,41.73513529037706,48
Microsoft,68,78,12,94,37,94,1647,38.623791856018954,506
Amazon SDE,60,2,0,13,10,85,1909,57.362530191158584,1382
Campus Placement,57,72,44,91,21,12,1431,74.92696294007251,991
Zoho,17,9,73,35,65,55,1071,44.68075515495156,930
TCS,44,68,13,87,12,52,1696,37.827624268940994,1430
Google SDE,78,1,39,27,25,81,2021,52.54568985789065,731
Zoho,22,89,21,58,36,26,1764,83.991029575742,1194
TCS,49,69,45,3,50,71,1803,30.608194335314895,25
Zoho,3,5,83,77,32,37,1049,57.71988740828289,502
Microsoft,97,68,46,68,55,42,1230,66.81524693341495,1459
TCS,23,45,58,95,85,44,1762,74.36964152870488,1141
Google SDE,11,91,91,16,60,41,1037,71.04049557422576,903
Amazon SDE,28,82,11,97,6,44,1233,34.09352035385804,1483
Campus Placement,5,23,56,36,27,0,1456,55.402874478035606,320
Microsoft,23,36,79,61,4,56,1561,34.33122686756938,748
Infosys,85,89,64,89,57,34,1317,64.0920427012577,1203
Competitive Programming,16,78,17,30,32,55,1403,34.23673520332526,555
Microsoft,56,15,67,91,65,13,1449,32.662814433895576,423
Interview Preparation,31,51,69,27,68,6,1331,46.831547943575046,260
TCS,88,94,57,92,86,65,1249,81.6357506476403,768
Competitive Programming,52,49,50,52,86,70,1363,69.04980939138177,1174
Google SDE,25,28,61,35,36,6,1237,30.221429098370535,1307
Google SDE,90,54,61,25,98,4,1667,45.66004019111939,1449
Infosys,70,85,34,85,67,50,1491,30.96238425071744,1072
Google SDE,34,54,75,98,5,63,1378,46.18710178644199,823
Infosys,97,38,26,27,43,50,1328,67.70206968120563,38
Interview Preparation,26,56,55,60,69,46,1712,71.78782694243839,967
Microsoft,7,18,28,21,91,39,1289,74.22592942561732,486
Competitive Programming,34,5,42,49,76,71,1617,80.04945532272353,327
Microsoft,17,49,16,34,70,86,1755,50.11862793032999,254
Interview Preparation,22,34,36,81,37,30,1547,77.44287443257107,757
TCS,93,42,39,68,95,82,916,70.02178010160617,706
Competitive Programming,15,55,90,92,62,57,1272,59.57657168193819,281
Amazon SDE,30,35,56,10,85,91,1143,82.50469181094967,1473
Amazon SDE,60,14,5,87,98,24,1041,82.12575130720893,1272
Interview Preparation,33,36,99,37,39,32,1727,79.36823545153834,386
Campus Placement,0,53,58,58,53,37,1513,41.122502713999815,275
TCS,72,80,58,44,18,30,630,41.43377119014284,935
Amazon SDE,99,7,70,43,23,6,1396,79.55516234481715,930
Microsoft,67,12,42,24,96,57,1200,51.88522329954658,1392
Interview Preparation,44,79,83,15,0,29,1678,73.85943431080074,349
Microsoft,57,68,73,19,52,17,1201,67.78173409315663,398
TCS,19,63,14,53,83,11,1495,71.92962358318034,586
Google SDE,80,50,14,12,6,56,1491,31.445060804088147,12
TCS,43,23,86,34,46,55,1153,53.64764146010138,1462
Campus Placement,9,89,9,11,42,3,1097,77.14014281722577,1175
TCS,45,82,67,62,1,24,2008,56.94591043366003,385
TCS,76,66,32,3,37,24,1517,67.95736551050965,333
Zoho,56,7,75,35,31,61,1415,71.57735466195692,155
Zoho,37,25,8,93,68,77,1762,36.64171092754669,302
TCS,15,45,26,92,39,0,1927,38.566006253644886,441
Google SDE,38,94,61,81,40,78,1850,69.8504489812563,714
Infosys,96,92,10,92,1,35,987,33.001380252925614,958
Google SDE,26,94,95,8,42,77,1409,48.80424252678395,594
Interview Preparation,79,82,14,73,2,38,1316,80.49459774985095,408
Infosys,78,46,70,9,77,9,1968,61.58957135730539,826
TCS,79,19,89,52,85,10,1613,80.0763203556763,1377
Microsoft,5,44,7,7,70,52,1011,47.01790483109721,973
Interview Preparation,28,85,68,58,96,15,847,65.01445250254032,1173
Competitive Programming,39,28,65,18,35,54,1886,45.77085248116101,196
Microsoft,16,44,1,43,14,1,1396,36.11169885876415,70
Amazon SDE,39,10,73,43,81,95,1388,84.48824229950361,948
Amazon SDE,70,0,16,33,96,3,1296,39.692768219828864,1413
Competitive Programming,97,8,76,52,71,36,1150,40.36654051684781,719
Campus Placement,54,81,8,2,14,19,1411,76.30551029030819,816
Campus Placement,99,0,79,86,94,17,1642,74.12303419554527,1473
Microsoft,25,68,70,1,27,72,1391,83.78064254089702,1352
Infosys,25,54,75,59,51,61,1714,33.94592084951507,1335
TCS,10,75,3,45,69,37,1606,35.17690759796728,1377
TCS,24,91,30,14,43,51,1670,54.67926973013731,20
Infosys,99,23,95,98,35,17,1454,62.546108731041755,1095
Competitive Programming,41,29,99,6,47,29,1350,32.09160506199194,235
Interview Preparation,47,82,2,60,8,47,1054,38.711438780923864,1186
TCS,1,38,40,34,54,89,1695,68.68345044989894,573
Campus Placement,91,39,6,34,38,42,1476,66.769687545511,781
Amazon SDE,0,58,65,68,54,29,1323,34.93274119732374,1343
TCS,5,52,74,48,67,80,1059,81.24164018526788,894
Microsoft,39,84,49,82,57,77,1780,44.01200927687393,1276
Google SDE,35,22,59,94,38,27,1395,78.79768555624565,1399
Microsoft,0,2,70,1,56,24,1964,80.7643493809919,1363
Interview Preparation,14,72,46,33,80,95,778,56.95383408232581,1140
Interview Preparation,64,13,56,12,80,59,1493,52.65815798079808,235
Google SDE,82,30,83,63,18,75,992,45.29753793775978,834
Interview Preparation,24,5,21,34,15,78,1180,74.40600993227056,227
Microsoft,77,0,21,97,84,69,1316,40.81237179145316,946
Microsoft,85,74,88,77,95,62,1587,64.2168512321996,762
TCS,86,54,17,34,26,39,1481,61.192372659828884,515
Zoho,61,84,73,25,20,51,1235,43.6892243196394,268
Amazon SDE,70,17,61,43,76,1,1199,84.06759438446315,63
Amazon SDE,33,87,11,6,16,98,885,76.5478308551946,1080
TCS,10,69,28,99,21,94,1216,31.129063488708372,736
Zoho,79,33,2,38,36,44,1176,53.22388331613193,698
Competitive Programming,37,71,52,84,19,69,1757,49.743456031676885,1132
Google SDE,8,16,25,78,63,5,1280,78.55450926573201,1053
Competitive Programming,3,30,80,12,48,65,1283,44.54725241278679,428
Infosys,44,93,83,83,20,61,1462,84.91478582741254,699
Interview Preparation,55,93,51,97,44,73,1810,41.004377644728976,859
Infosys,34,1,99,89,10,89,1803,43.41365226556734,71
Campus Placement,22,28,98,3,17,51,2117,66.6344892334514,1178
Competitive Programming,23,15,83,97,3,38,979,38.85812803166404,225
Amazon SDE,3,68,77,83,99,5,1449,78.88412130414919,12
Campus Placement,93,69,40,18,39,83,1368,36.046103767244816,169
Campus Placement,39,81,12,30,49,84,852,84.08245807297044,790
Microsoft,95,76,39,82,58,73,1049,78.10537207739824,1153
Campus Placement,51,34,91,42,1,87,1673,76.18110786136288,902
Zoho,97,57,50,63,68,14,1558,52.39695344886395,1122
Infosys,59,3,95,1,50,33,1555,58.25029117935492,338
Google SDE,33,7,1,89,97,75,1534,55.09968384751672,589
Zoho,30,32,35,21,99,59,894,84.30848110623313,1390
Zoho,30,53,13,80,70,29,1070,31.91542678397625,1300
TCS,31,74,25,87,94,12,1239,50.993993616444634,961
Infosys,35,6,65,75,93,27,1648,83.26135762380294,1356
Zoho,85,24,10,21,76,80,1439,50.31646183867633,644
Infosys,18,18,72,83,96,69,1671,51.911083056717516,997
Interview Preparation,44,57,49,66,92,65,1986,64.7215410529501,1228
Zoho,34,59,99,14,74,77,923,79.89978431730219,930
Campus Placement,37,66,70,42,75,23,1364,46.19871908526737,747
Campus Placement,41,35,34,13,28,64,1365,82.11829700300768,1365
Competitive Programming,59,64,80,73,54,97,1151,45.54089285705055,179
Google SDE,14,58,89,19,90,6,1532,74.84669560177848,530
Amazon SDE,55,98,28,22,26,9,2256,45.17109747684117,1496
Interview Preparation,59,10,37,53,12,55,1115,34.014100903669224,49
Interview Preparation,7,45,32,72,19,79,1580,74.67664007636242,1294
Zoho,95,91,74,61,67,18,1086,54.754201335393155,1428
Zoho,99,70,97,61,74,25,858,51.49119177206921,964
Microsoft,93,77,5,63,16,47,1215,53.643563541392155,1259
Microsoft,22,84,17,73,39,56,1481,63.63669564683322,993
TCS,70,5,30,52,54,46,0,44.448140038699286,1157
TCS,21,99,78,60,13,99,1933,43.050099279498596,984
Zoho,35,96,93,52,13,37,1483,56.58915706580542,47
TCS,38,6,76,2,92,60,1404,31.95983531956869,337
Microsoft,91,60,4,11,90,56,1649,65.35671660791644,1284
Infosys,75,59,83,19,87,33,1474,75.2564243035952,1209
Competitive Programming,66,30,39,24,99,91,1392,70.00792354100062,923
Infosys,37,90,46,88,2,79,1345,55.81163683696597,463
Campus Placement,43,22,62,27,4,56,1590,61.096467342321745,46
Competitive Programming,35,0,81,15,52,86,1558,31.439943004712358,1349
Campus Placement,20,40,42,50,76,86,1320,80.17945739732244,982
TCS,21,89,1,39,53,7,1832,60.693440534722114,805
Infosys,22,35,75,20,4,72,1652,47.402501013162194,982
Infosys,6,56,19,70,97,25,1688,46.147028162973996,602
Interview Preparation,6,34,23,75,70,72,1126,66.28119470578837,1147
TCS,20,49,72,98,8,8,1246,62.13809008311406,1073
Zoho,43,52,34,81,33,83,1854,40.331341747256204,1334
Google SDE,77,66,54,81,59,4,1711,52.54555143119226,233
Zoho,41,83,51,10,27,56,975,67.1899750869075,327
Google SDE,6,51,94,31,57,77,1500,46.371010357682735,358
Campus Placement,68,41,44,96,65,88,0,58.010211491491546,124
Infosys,18,20,46,46,27,17,1092,44.018359912601625,707
Infosys,88,29,92,44,44,95,1703,33.94248295871806,1356
Amazon SDE,11,62,50,96,3,44,1415,51.35351733207246,1073
Microsoft,8,37,28,78,87,22,1851,70.26424983504037,49
Google SDE,0,41,67,17,65,14,1361,41.7617737600074,1322
Zoho,51,93,49,85,61,75,966,71.4976877362966,1295
Interview Preparation,42,25,13,5,61,16,1558,66.82207848914783,225
Competitive Programming,92,5,27,58,37,97,1062,57.905370355755096,1180
Amazon SDE,82,86,57,85,58,22,1228,83.43006211449861,345
Campus Placement,14,6,32,5,32,99,854,78.58780000616389,1201
Amazon SDE,99,92,71,14,52,58,1157,60.974692090380486,101
Interview Preparation,81,19,50,93,23,60,1803,60.67789311568496,362
Interview Preparation,62,74,0,60,96,81,1444,45.27742156413353,580
Microsoft,21,5,67,29,97,95,1330,80.61091296461925,825
Google SDE,21,83,28,45,80,57,1137,79.27606997887958,790
